,eo_code,be_code,head_type,be_description,eo_class_code,eo_class_description,eo_model_name,eo_category_spec,eo_model_id,eo_description,operation_start_date,expected_operation_period_years,operation_finish_date_calc,sap_planned_finish_operation_date,operation_finish_date_sap_upd,sap_system_status,sap_user_status,be_eo_data_row_no,operation_finish_date_iteration_0,operation_finish_date_iteration_1,operation_finish_date_iteration_2,operation_status,operation_finish_date
210,100000061735,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,Канатные экскаваторы с объемом ковша 5-35 м3,117.0,Экскаватор электрический ЭКГ-10 №22,2007-12-25,12,2019-12-25 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,268.0,2024-12-25,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
211,100000063333,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,Канатные экскаваторы с объемом ковша 5-35 м3,117.0,Экскаватор электрический ЭКГ-10 №28,2012-01-26,12,2024-01-26 00:00:00,2029-01-31,2029-01-31,УСТН,СИНХ,271.0,2029-01-26,2029-01-31,2029-01-31,Эксплуатация,2029-01-31
212,100000063336,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,Канатные экскаваторы с объемом ковша 5-35 м3,117.0,Экскаватор электрический ЭКГ-10 №32,2017-02-28,12,2029-02-28 00:00:00,2034-02-28,2034-02-28,УСТН,СИНХ,275.0,2034-02-28,2034-02-28,2034-02-28,Эксплуатация,2034-02-28
213,100000062743,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,Канатные экскаваторы с объемом ковша 5-35 м3,117.0,Экскаватор электрический ЭКГ-10 №02,1996-09-01,12,2008-09-01 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,263.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
214,100000062738,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-10,Канатные экскаваторы с объемом ковша 5-35 м3,117.0,Экскаватор электрический ЭКГ-10 №30,2012-12-28,12,2024-12-28 00:00:00,2029-12-31,2029-12-31,УСТН,СИНХ,273.0,2029-12-28,2029-12-31,2029-12-31,Эксплуатация,2029-12-31
215,100000063335,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы ЭКГ-18,Канатные экскаваторы с объемом ковша 18-35 м3,118.0,Экскаватор электрический ЭКГ-18 №01,2016-08-01,12,2028-08-01 00:00:00,2036-08-31,2036-08-31,УСТН,СИНХ,276.0,2036-08-31,2036-08-31,2036-08-31,Эксплуатация,2036-08-31
221,100000067189,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаваторы PC3000-6,Гидравлические экскаваторы с объемом ковша 15-17 м3,123.0,Экскаватор гидравл. PC3000-6 №502,2009-10-16,12,2021-10-16 00:00:00,2023-06-30,2023-06-30,УСТН,СИНХ,259.0,2022-12-31,2025-06-30,2023-06-30,Эксплуатация,2023-06-30
222,100000063332,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаваторы PC3000-6,Гидравлические экскаваторы с объемом ковша 15-17 м3,123.0,Экскаватор гидравл. PC3000-6 №504,2011-07-12,12,2023-07-12 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,260.0,2022-12-31,2025-06-30,2022-12-31,Эксплуатация,2022-12-31
223,100000063334,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаваторы PC1250-7,Гидравлические экскаваторы с объемом ковша 6-7 м3,121.0,Экскаватор гидравл. PC1250-7 №01,2015-01-23,12,2027-01-23 00:00:00,2026-06-30,2026-06-30,УСТН,СИНХ,252.0,2026-06-30,2026-06-30,2026-06-30,Эксплуатация,2026-06-30
224,100000063337,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаваторы PC1250-8,Гидравлические экскаваторы с объемом ковша 6-7 м3,122.0,Экскаватор гидравл. PC1250-8 №07,2017-12-06,12,2029-12-06 00:00:00,2027-12-31,2027-12-31,УСТН,СИНХ,253.0,2027-12-31,2027-12-31,2027-12-31,Эксплуатация,2027-12-31
225,100000026774,1100.0,head,"АО ""Полюс Красноярск""",E03_01,Экскаваторы гидравлические,Экскаваторы PC1250-8,Гидравлические экскаваторы с объемом ковша 6-7 м3,122.0,Экскаватор гидравл. PC1250-8 №08,2020-01-20,12,2032-01-20 00:00:00,2029-12-31,2029-12-31,УСТН,СИНХ,255.0,2029-12-31,2029-12-31,2029-12-31,Эксплуатация,2029-12-31
226,100000063338,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы WK-20,Канатные экскаваторы с объемом ковша 18-35 м3,125.0,Экскаватор электрический WK-20 №03,2017-09-08,12,2029-09-08 00:00:00,2037-09-30,2037-09-30,УСТН,СИНХ,279.0,2037-09-30,2037-09-30,2037-09-30,Эксплуатация,2037-09-30
227,100000054866,1100.0,head,"АО ""Полюс Красноярск""",E03_02,Экскаваторы электрические,Экскаваторы WK-20,Канатные экскаваторы с объемом ковша 18-35 м3,125.0,Экскаватор электрический WK-20 №8,2021-02-18,12,2033-02-18 00:00:00,2041-02-28,2041-02-28,УСТН,СИНХ,280.0,2041-02-28,2041-02-28,2041-02-28,Эксплуатация,2041-02-28
228,100000061898,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые DE810,Буровые станки,77.0,Станок буровой DE810-CT №01,2017-01-31,8,2025-01-31 00:00:00,2027-02-28,2027-02-28,УСТН,СИНХ,251.0,2027-02-28,2027-02-28,2027-02-28,Эксплуатация,2027-02-28
229,100000061899,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станок буровой DML HP 1450,Буровые станки,138.0,Станок буровой DML HP 1450 №73,2016-06-07,8,2024-06-07 00:00:00,2027-08-31,2027-08-31,УСТН,СИНХ,240.0,2027-08-31,2027-08-31,2027-08-31,Эксплуатация,2027-08-31
230,100000061914,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станок буровой DML HP 1450,Буровые станки,138.0,Станок буровой DML HP 1450 №74,2017-05-07,8,2025-05-07 00:00:00,2027-05-31,2027-05-31,УСТН,СИНХ,241.0,2027-05-31,2027-05-31,2027-05-31,Эксплуатация,2027-05-31
231,100000061910,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые DML LP,Буровые станки,78.0,Станок буровой DML LP №68,2009-03-31,8,2017-03-31 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,235.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
232,100000061887,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые DML LP,Буровые станки,78.0,Станок буровой DML LP №69,2013-09-11,8,2021-09-11 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,236.0,2023-09-30,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
233,100000061897,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые DML LP,Буровые станки,78.0,Станок буровой DML LP №70,2013-10-09,8,2021-10-09 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,237.0,2023-10-31,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
234,100000054808,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые DML LP,Буровые станки,78.0,Станок буровой DML LP №75,2020-09-02,8,2028-09-02 00:00:00,2030-09-30,2030-09-30,УСТН,СИНХ,242.0,2030-09-30,2030-09-30,2030-09-30,Эксплуатация,2030-09-30
235,100000054809,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые DML LP,Буровые станки,78.0,Станок буровой DML LP №76,2020-09-04,8,2028-09-04 00:00:00,2030-09-30,2030-09-30,УСТН,СИНХ,243.0,2030-09-30,2030-09-30,2030-09-30,Эксплуатация,2030-09-30
236,100000068241,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые DML LP,Буровые станки,78.0,Станок буровой DML LP №77,2021-09-23,8,2029-09-23 00:00:00,2031-09-30,2031-09-30,УСТН,СИНХ,244.0,2031-09-30,2031-09-30,2031-09-30,Эксплуатация,2031-09-30
257,100000061889,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-235,Буровые станки,79.0,Станок буровой PV-235 №55,2012-04-04,8,2020-04-04 00:00:00,2025-12-31,2025-12-31,УСТН,СИНХ,228.0,2022-12-31,2025-12-31,2025-12-31,Эксплуатация,2025-12-31
258,100000061895,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-235,Буровые станки,79.0,Станок буровой PV-235 №56,2012-09-30,8,2020-09-30 00:00:00,2025-12-31,2025-12-31,УСТН,СИНХ,229.0,2022-12-31,2025-12-31,2025-12-31,Эксплуатация,2025-12-31
259,100000061896,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-235,Буровые станки,79.0,Станок буровой PV-235 №57,2012-10-16,8,2020-10-16 00:00:00,2025-12-31,2025-12-31,УСТН,СИНХ,230.0,2022-12-31,2025-12-31,2025-12-31,Эксплуатация,2025-12-31
260,100000061888,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-235,Буровые станки,79.0,Станок буровой PV-235 №58,2013-10-31,8,2021-10-31 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,231.0,2023-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
261,100000026811,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-351,Буровые станки,80.0,Станок буровой PV351 №51,2019-02-19,8,2027-02-19 00:00:00,2029-02-28,2029-02-28,УСТН,СИНХ,232.0,2029-02-28,2029-02-28,2029-02-28,Эксплуатация,2029-02-28
262,100000026812,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-351,Буровые станки,80.0,Станок буровой PV351 №52,2019-04-01,8,2027-04-01 00:00:00,2029-04-30,2029-04-30,УСТН,СИНХ,233.0,2029-04-30,2029-04-30,2029-04-30,Эксплуатация,2029-04-30
263,100000026813,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые PV-351,Буровые станки,80.0,Станок буровой PV351 №53,2019-06-07,8,2027-06-07 00:00:00,2029-06-30,2029-06-30,УСТН,СИНХ,234.0,2029-06-30,2029-06-30,2029-06-30,Эксплуатация,2029-06-30
276,100000061901,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые ROC D65,Буровые станки,81.0,Станок буровой SmartROC D65-10LF №19,2018-07-02,8,2026-07-02 00:00:00,2026-07-31,2026-07-31,УСТН,СИНХ,245.0,2026-07-31,2026-07-31,2026-07-31,Эксплуатация,2026-07-31
277,100000061902,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые ROC D65,Буровые станки,81.0,Станок буровой SmartROC D65-10LF №020,2018-07-02,8,2026-07-02 00:00:00,2026-07-31,2026-07-31,УСТН,СИНХ,246.0,2026-07-31,2026-07-31,2026-07-31,Эксплуатация,2026-07-31
278,100000026783,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые ROC D65,Буровые станки,81.0,Станок буровой SmartROC D65-10LF №021,2019-06-27,8,2027-06-27 00:00:00,2027-06-30,2027-06-30,УСТН,СИНХ,247.0,2027-06-30,2027-06-30,2027-06-30,Эксплуатация,2027-06-30
279,100000026784,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые ROC D65,Буровые станки,81.0,Станок буровой SmartROC D65-10LF №022,2019-06-21,8,2027-06-21 00:00:00,2027-06-30,2027-06-30,УСТН,СИНХ,248.0,2027-06-30,2027-06-30,2027-06-30,Эксплуатация,2027-06-30
280,100000026785,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые ROC D65,Буровые станки,81.0,Станок буровой SmartROC D65-10LF №023,2019-07-13,8,2027-07-13 00:00:00,2027-07-31,2027-07-31,УСТН,СИНХ,249.0,2027-07-31,2027-07-31,2027-07-31,Эксплуатация,2027-07-31
281,100000026814,1100.0,head,"АО ""Полюс Красноярск""",E02_03,Станки буровые ударно-вращательного бур.,Станки буровые ROC D65,Буровые станки,81.0,Станок буровой SmartROC D65-10LF №024,2019-07-15,8,2027-07-15 00:00:00,2027-07-31,2027-07-31,УСТН,СИНХ,250.0,2027-07-31,2027-07-31,2027-07-31,Эксплуатация,2027-07-31
282,100000061882,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,Буровые станки,76.0,Станок буровой СБШ-250 МНА-32 №22,2011-02-22,8,2019-02-22 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,222.0,2023-06-30,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
283,100000061884,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,Буровые станки,76.0,Станок буровой СБШ-250 МНА-32 №24,2011-04-09,8,2019-04-09 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,223.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
284,100000061890,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,Буровые станки,76.0,Станок буровой СБШ-250 МНА-32 №25,2012-04-30,8,2020-04-30 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,224.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
285,100000061891,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,Буровые станки,76.0,Станок буровой СБШ-250 МНА-32 №26,2012-04-30,8,2020-04-30 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,225.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
286,100000061892,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,Буровые станки,76.0,Станок буровой СБШ-250 МНА-32 №27,2012-05-31,8,2020-05-31 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,226.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
287,100000061886,1100.0,head,"АО ""Полюс Красноярск""",E02_01,Станки буровые вращ. бур. шарошками,Станки буровые СБШ-250,Буровые станки,76.0,Станок буровой СБШ-250 МНА-32 №28,2013-07-31,8,2021-07-31 00:00:00,2023-12-31,2023-12-31,УСТН,СИНХ,227.0,2023-12-31,2023-12-31,2023-12-31,Эксплуатация,2023-12-31
313,100000065581,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,61.0,Самосвал карьерный БЕЛАЗ-7540А №21,2006-06-02,12,2018-06-02 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,4.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
314,100000065582,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,61.0,Самосвал карьерный БЕЛАЗ-7540А №24,2006-06-02,12,2018-06-02 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,6.0,2022-12-31,2022-12-31,2022-12-31,Эксплуатация,2022-12-31
315,100000065585,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,61.0,Самосвал карьерный БЕЛАЗ-7540К №55,2016-12-16,12,2028-12-16 00:00:00,2026-12-31,2026-12-31,УСТН,СИНХ,9.0,2026-12-31,2026-12-31,2026-12-31,Эксплуатация,2026-12-31
316,100000065586,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,61.0,Самосвал карьерный БЕЛАЗ-7540К №56,2016-12-16,12,2028-12-16 00:00:00,2026-12-31,2026-12-31,УСТН,СИНХ,10.0,2026-12-31,2026-12-31,2026-12-31,Эксплуатация,2026-12-31
317,100000065587,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,61.0,Самосвал карьерный БЕЛАЗ-7540К №57,2016-12-16,12,2028-12-16 00:00:00,2026-12-31,2026-12-31,УСТН,СИНХ,11.0,2026-12-31,2026-12-31,2026-12-31,Эксплуатация,2026-12-31
318,100000065588,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,61.0,Самосвал карьерный БЕЛАЗ-7540К №58,2016-12-16,12,2028-12-16 00:00:00,2026-12-31,2026-12-31,УСТН,СИНХ,12.0,2026-12-31,2026-12-31,2026-12-31,Эксплуатация,2026-12-31
319,100000065589,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,61.0,Самосвал карьерный БЕЛАЗ-7540К №59,2016-12-16,12,2028-12-16 00:00:00,2026-12-31,2026-12-31,УСТН,СИНХ,13.0,2026-12-31,2026-12-31,2026-12-31,Эксплуатация,2026-12-31
320,100000079842,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы БелАЗ-7540,Автосамосвалы в классе 30-40тонн,61.0,Самосвал карьерный БЕЛАЗ-7540B №60,2022-04-29,12,2034-04-29 00:00:00,2032-04-30,2032-04-30,УСТН,,14.0,2032-04-30,2032-04-30,2032-04-30,Эксплуатация,2032-04-30
323,100000028868,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №401,2009-03-04,12,2021-03-04 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,53.0,2022-08-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
324,100000062369,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №403,2009-04-12,12,2021-04-12 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,55.0,2022-09-30,2024-12-31,2022-12-31,Эксплуатация,2022-12-31
325,100000062370,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №404,2009-04-16,12,2021-04-16 00:00:00,2022-12-31,2022-12-31,УСТН,КОНС СИНХ,56.0,2022-12-31,2024-12-31,2022-12-31,Консервация,2022-12-31
326,100000062371,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №405,2009-04-25,12,2021-04-25 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,57.0,2022-10-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
327,100000062372,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №407,2009-06-08,12,2021-06-08 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,59.0,2022-11-30,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
328,100000062373,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №409,2009-06-24,12,2021-06-24 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,61.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
329,100000062379,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №411,2009-10-02,12,2021-10-02 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,63.0,2022-12-31,2024-12-31,2022-12-31,Эксплуатация,2022-12-31
330,100000062377,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №414,2009-11-02,12,2021-11-02 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,65.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
331,100000062376,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №415,2009-11-04,12,2021-11-04 00:00:00,2022-12-31,2022-12-31,УСТН,СИНХ,66.0,2022-06-30,2024-12-31,2022-12-31,Эксплуатация,2022-12-31
332,100000065968,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №416,2011-03-24,12,2023-03-24 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,67.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
333,100000065969,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №417,2011-03-27,12,2023-03-27 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,68.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
334,100000065970,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №418,2011-03-31,12,2023-03-31 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,69.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
335,100000065971,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №419,2011-04-04,12,2023-04-04 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,70.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
336,100000065972,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №420,2011-04-09,12,2023-04-09 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,71.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
337,100000065974,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №422,2011-04-14,12,2023-04-14 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,73.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
338,100000065967,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №423,2011-05-13,12,2023-05-13 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,74.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
339,100000062380,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №424,2011-05-16,12,2023-05-16 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,75.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
340,100000065975,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №425,2011-05-26,12,2023-05-26 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,76.0,2022-12-31,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
341,100000065976,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №426,2011-06-28,12,2023-06-28 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,77.0,2023-06-30,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
342,100000062381,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №427,2011-06-30,12,2023-06-30 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,78.0,2023-06-30,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
343,100000062382,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №428,2011-07-07,12,2023-07-07 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,79.0,2023-06-30,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
344,100000062383,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №429,2011-07-10,12,2023-07-10 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,80.0,2023-06-30,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
345,100000062384,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №430,2011-08-23,12,2023-08-23 00:00:00,2024-12-31,2024-12-31,УСТН,СИНХ,81.0,2023-06-30,2024-12-31,2024-12-31,Эксплуатация,2024-12-31
346,100000062391,1100.0,head,"АО ""Полюс Красноярск""",E01_01,Самосвалы карьерные,Самосвалы CAT 785C,Автосамосвалы в классе 120-150 тонн,65.0,Самосвал карьерный 785C №431,2013-06-13,12,2025-06-13 00:00:00,2025-06-30,2025-06-30,УСТН,СИНХ,82.0,2025-06-30,2025-06-30,2025-06-30,Эксплуатация,2025-06-30
